Наименование;Остаток;КодТовара;Артикул;Производитель;Тип;Описание;Цена;ШтрихКод;Упаковка;СрокГодности;Марка;ТоварнаяКатегория;Товар;РейтингПродаж;Категория;ABV;IBU;Plato;СтильПива;UntappdRef;EBC;id_объекта
Zavod "Bloody Mary V2.0" (Tomato Gose) алк. 4,2% / Блади Мэри, ж/б  0,45л;35;00-00019644;BLOODY MARY V2.0 (ж/б 0,45л);Zavod Brewery;Товар;;343;4607967292583;кор. 20х0,45л ж/б;360;Bloody Mary V2.0;Bloody Mary V2.0;Zavod "Bloody Mary V2.0" (Tomato Gose) алк. 4,2% / Блади Мэри, ж/б  0,45л;;Алкогольная продукция>Zavod Brewery>Zavod Brewery ж>б;4,20;7;;Tomato Gose;3323503;;5d67e39e-4db4-11f0-9bac-000c296fac54
2 л бцв. 31 гр ПЭТ бутылка (упаковка 40 шт) НАКРУЧЕНЫЙ КОЛП;40;00-00009525;2 л бцв. 31 гр ПЭТ бутылка (упаковка 40 шт) НАКРУЧ;ПБ;Товар;2 л бцв. 31 гр ПЭТ бутылка (упаковка 40 шт) НАКРУЧЕНЫЙ КОЛП;88;;;0;2 л бцв. 31 гр ПЭТ бутылка (упаковка 40 шт) НАКРУЧЕНЫЙ КОЛП;2 л бцв. 31 гр ПЭТ бутылка (упаковка 40 шт) НАКРУЧЕНЫЙ КОЛП;2 л бцв. 31 гр ПЭТ бутылка (упаковка 40 шт) НАКРУЧЕНЫЙ КОЛП;;Сопутствующие товары>ПЭТ ТАРА ПАКЕТЫ>ПЭТ;;;;;;;8c13a50d-07f5-11ed-80e5-000c29d24b62
Lapochka "Mango + Chili" (Lemonade) / Лапочка Манго Чили, ж/б.0,33л;112;00-00003417;LAPOCHKA "MANGO + CHILI" (ж/б 0,33л);Lapochka;Товар;;201;4640205260036;кор. 20х0,33л ж/б;360;Lapochka "Mango + Chili";Lapochka "Mango + Chili";Lapochka "Mango + Chili" (Lemonade) / Лапочка Манго Чили, ж/б.0,33л;;Алкогольная продукция>Ostrovica (Аша)>Lapochka;;;;Lemonade;;;e9fecb5a-a97d-11ea-80ed-000c29e252b5
Lapochka "Mango + Chili" (Lemonade) / Лапочка Манго Чили, ж/б.0,33л;112;00-00003417;LAPOCHKA "MANGO + CHILI" (ж/б 0,33л);Lapochka;Товар;;201;4640205260043;кор. 20х0,33л ж/б;360;Lapochka "Mango + Chili";Lapochka "Mango + Chili";Lapochka "Mango + Chili" (Lemonade) / Лапочка Манго Чили, ж/б.0,33л;;Алкогольная продукция>Ostrovica (Аша)>Lapochka;;;;Lemonade;;;e9fecb5a-a97d-11ea-80ed-000c29e252b5
Plan B "Ковбой Мальборо" (American IPA) алк. 6,5% / Ковбой Мальборо, пэт кег 20л;120;00-00004048;КОВБОЙ МАРЛЬБОРО (пэт кег 20л);Plan B;Товар;;432;4650139080389;пэт кег 20л;180;Ковбой Мальборо;Ковбой Мальборо;Plan B "Ковбой Мальборо" (American IPA) алк. 6,5% / Ковбой Мальборо, пэт кег 20л;;Алкогольная продукция>Plan B Brewery>Plan B Brewery кег;6,50;50;16;American IРА;673144;;e645076c-0b19-11eb-80ef-000c29e252b5
Magic Mess "Вторник" (Hefeweizen) алк. 4,5% / Мэджик Месс Вторник, ж/б 0,45л;33;00-00018514;ВТОРНИК (ж/б 0,45л);Magic Mess;Товар;;248;4660508890600;кор. 12х0,45л ж/б;365;Вторник;Вторник;Magic Mess "Вторник" (Hefeweizen) алк. 4,5% / Мэджик Месс Вторник, ж/б 0,45л;;Алкогольная продукция>Magic Mess>Magic Mess ж>б;4,50;;;Hefeweizen;4936525;;eb58de2f-03eb-11f0-8227-000c29bc6f5e
Rewort Brewery "Backflip" (Session ipa)  алк. 4.5% / БЭКФЛИП, ж/б 0,33л;3167;00-00018577;BACKFLIP (ж/б 0,33л);Rewort;Товар;;222;4670161157248;кор. 12х0,33л ж/б;365;Backflip;Backflip;Rewort Brewery "Backflip" (Session ipa)  алк. 4.5% / БЭКФЛИП, ж/б 0,33л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;4,50;40;11,50;Session IPA;6165989;9;0cef7ed0-0577-11f0-8228-000c29bc6f5e
Rewort Brewery "Backflip" (Session ipa)  алк. 4.5% / БЭКФЛИП, ж/б 0,33л;3167;00-00018577;BACKFLIP (ж/б 0,33л);Rewort;Товар;;222;4670161158344;кор. 12х0,33л ж/б;365;Backflip;Backflip;Rewort Brewery "Backflip" (Session ipa)  алк. 4.5% / БЭКФЛИП, ж/б 0,33л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;4,50;40;11,50;Session IPA;6165989;9;0cef7ed0-0577-11f0-8228-000c29bc6f5e
Plan B "Бэрримор" (Oatmeal Stout) алк. 6,5% / Бэрримор, ж/б 0,45л;59;00-00018604;БЭРРИМОР (ж/б 0,45л);Plan B;Товар;;280;4650139081003;кор. 12х0,45л ж/б;180;Бэрримор;Бэрримор;Plan B "Бэрримор" (Oatmeal Stout) алк. 6,5% / Бэрримор, ж/б 0,45л;;Алкогольная продукция>Plan B Brewery>Plan B ж>б;6,50;50;;Oatmeal Stout;1018996;;46395b6b-062d-11f0-8228-000c29bc6f5e
Salden's "Hazelnut Stout" (Stout) алк. 6,3% / Стаут Лесной Орех, жб. 0,45л;9;00-00018680;HAZELNUT STOUT (жб. 0,45л);Salden's;Товар;;285;4620085785287;кор. 20х0,45л ж/б;180;Hazelnut Stout;Hazelnut Stout;Salden's "Hazelnut Stout" (Stout) алк. 6,3% / Стаут Лесной Орех, жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;6,30;;20;Stout;1793291;;6178c1c7-0ecf-11f0-822d-000c29bc6f5e
Rewort Brewery & Bernin“ Мексиканский полдень” (Lager - Mexican) алк. 4.0%/ ЛАГЕР 26, пэт кег 20л/шт;26;00-00022163;МЕКСИКАНСКИЙ ПОЛДЕНЬ (пэт кег 20л/шт);Rewort;Товар;;0;4630522441867;пэт кег 20л/шт;365;Мексиканский полдень;Мексиканский полдень;Rewort Brewery & Bernin“ Мексиканский полдень” (Lager - Mexican) алк. 4.0%/ ЛАГЕР 26, пэт кег 20л/шт;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort кег пэт;4;10;15;Lager - Mexican;6622265;10;a8786de5-3cb8-11f1-9bbc-000c296fac54
Gravity Project "Береги голову" (Cider) алк. 4,5% / Саммер, бут 0,5л;48;00-00022181;БЕРЕГИ ГОЛОВУ (бут 0,5л);Gravity Project;Товар;;340;4603791714550;кор. 12х0,5л ст. бут.;180;Береги голову;Береги голову;Gravity Project "Береги голову" (Cider) алк. 4,5% / Саммер, бут 0,5л;;Алкогольная продукция>Gravity Project>Gravity Project стекло;4,50;;;Cider;5411624;;d38cf380-3e4a-11f1-9bbc-000c296fac54
Plague Brew "English Stout" (English Stout) алк. 6,5% / Стаут 1, ж/б 0,45л;24;00-00022217;ENGLISH STOUT (ж/б 0,45л);Plague Brew;Товар;;319;4660512526922;кор. 12х0,45л ж/б;730;English Stout;English Stout;Plague Brew "English Stout" (English Stout) алк. 6,5% / Стаут 1, ж/б 0,45л;;Алкогольная продукция>Plague Brew>Plague Brew ж>б бут;6,50;;;English Stout;6481799;;e8b9c9b6-42d5-11f1-9bbc-000c296fac54
Duck Cider "Абрикос" (Fruit Cider) алк. 5,5% /ДАК САЙДЕР Абрикос, бут. 0,5л;54;00-00022325;АБРИКОС (бут. 0,5л);Сидродельня Леонида Леврана;Товар;;311;4603728537559;кор. 12х0,5л ст. бут.;720;Абрикос;Абрикос;Duck Cider "Абрикос" (Fruit Cider) алк. 5,5% /ДАК САЙДЕР Абрикос, бут. 0,5л;;Алкогольная продукция>Сидродельня Леонида Леврана>Duck Cider;5,50;;;Cider;6593540;;8444027a-4f86-11f1-9bbe-000c296fac54
Red Rocket "DALION" (Sour) алк. 6% / РЕД РОКЕТ ДАЛИОН, ж/б 0,45л;16;00-00022352;DALION (ж/б 0,45л);Red Rocket;Товар;;334;4640229932575;кор. 20х0,45л ж/б;360;DALION;DALION;Red Rocket "DALION" (Sour) алк. 6% / РЕД РОКЕТ ДАЛИОН, ж/б 0,45л;;Алкогольная продукция>Red Rocket Brewery>Red Rocket ж>б;6;;;Sour Ale;6689814;;08e9c8ba-5449-11f1-9bbe-000c296fac54
Selfmade "The Forge: HBC 682" (Imperial / Double IPA) алк. 8,5% / СБ ДИПА 10, ж/б 0,45л;2;00-00022369;THE FORGE: HBC 682 (ж/б 0,45л);Selfmade;Товар;;348;4640235994512;кор. 12х0,45л ж/б;363;The Forge: HBC 682;The Forge: HBC 682;Selfmade "The Forge: HBC 682" (Imperial / Double IPA) алк. 8,5% / СБ ДИПА 10, ж/б 0,45л;Новинка!;Алкогольная продукция>Selfmade>Selfmade ж>б;8,50;76;;Imperial / Double IPA;6698411;;bcfe90b7-5508-11f1-9bbe-000c296fac54
Black Cat "Липкие Лапки" (Sour), алк. 7% /БЛЭК КЭТ САУР 1.01, ж/б 0,45л;42;00-00022392;ЛИПКИЕ ЛАПКИ (ж/б 0,45л);Black Cat;Товар;;338;4650300022538;кор. 12х0,45л ж/б;360;Липкие Лапки;Липкие Лапки;Black Cat "Липкие Лапки" (Sour), алк. 7% /БЛЭК КЭТ САУР 1.01, ж/б 0,45л;;Алкогольная продукция>Black Cat Brewery>Black Cat Brewery стекло > жб;7;;;Sour - Fruited;6716773;;1410d44d-5804-11f1-9bbe-000c296fac54
HopHead "Питерский свекольник" (Gose) алк. 6,5% / Хопхэд гозе 22, ж/б 0,45л;18;00-00022408;ПИТЕРСКИЙ СВЕКОЛЬНИК (ж/б 0,45л);HopHead;Товар;;350;4620402496278;кор. 20х0,45л ж/б;360;Питерский свекольник;Питерский свекольник;HopHead "Питерский свекольник" (Gose) алк. 6,5% / Хопхэд гозе 22, ж/б 0,45л;;Алкогольная продукция>HopHead>HopHead ж>б;6,50;5;;Gose;5354578;;34e7bd1f-58ff-11f1-9bbe-000c296fac54
Gravity Project "Бессердечная жучка" (Cider) алк. 4,5%/ Б. Хартлес, пэт кег 30л;90;00-00022433;БЕССЕРДЕЧНАЯ ЖУЧКА (пэт кег 30л);Gravity Project;Товар;Бессердечная жучка (Heartless Bitch 2.0) Малина с мятой;478;4640422940483;пэт кег 30л;365;Бессердечная жучка;Бессердечная жучка;Gravity Project "Бессердечная жучка" (Cider) алк. 4,5%/ Б. Хартлес, пэт кег 30л;;Алкогольная продукция>Gravity Project>Gravity Project кег;4,50;;;Cider;3300416;;15912ce0-5a73-11f1-9bbe-000c296fac54
Red Button "PEARYNADE" (lemonade) /Пэрринад ж/б 0,33л;9;00-00022444;PEARYNADE (жб 0,33л);Red Button;Товар;;206;4670190944901;кор. 20х0,33л ж/б;360;PEARYNADE;PEARYNADE;Red Button "PEARYNADE" (lemonade) /Пэрринад ж/б 0,33л;;Алкогольная продукция>Red Button>Red Button Б>А;;;;Lemonade;;;f0b51197-5b54-11f1-9bbe-000c296fac54
Magic Mess "Вы не готовы" (IPA) алк.6.5% /Мэджик Месс Вэст Кост ИПА 14, ж/б 0,45л;17;00-00022460;ВЫ НЕ ГОТОВЫ (ж/б 0,45л);Magic Mess;Товар;;338;4660508892741;кор. 12х0,45л ж/б;365;Вы не готовы;Вы не готовы;Magic Mess "Вы не готовы" (IPA) алк.6.5% /Мэджик Месс Вэст Кост ИПА 14, ж/б 0,45л;;Алкогольная продукция>Magic Mess>Magic Mess ж>б;6,50;;;IPA;6675132;;354dc876-5e59-11f1-9bbe-000c296fac54
DIETA "Не Тольк В Собс Соку виш шок" (Fruit Beer)алк. 7% /Диета эль "Брюмен фруктовый эль 7",кег 20л;20;00-00022604;НЕ ТОЛЬК В СОБС СОКУ ВИШ ШОК (кег 20л);DIETA;Товар;;531;4620402494700;пэт кег 20л;180;Не Тольк В Собс Соку виш шок;Не Тольк В Собс Соку виш шок;DIETA "Не Тольк В Собс Соку виш шок" (Fruit Beer)алк. 7% /Диета эль "Брюмен фруктовый эль 7",кег 20л;;Алкогольная продукция>DIETA>DIETA кег;7;;;Fruit Beer;6619602;;641afe7b-694e-11f1-9bbe-000c296fac54
GANZA Brewery "Механика вкуса" (West Coast IPA) алк.6.5% / Ганза ипа 26, пэт кег 20л;20;00-00022626;МЕХАНИКА ВКУСА (пэт кег 20л);GANZA Brewery;Товар;;378;4670163076141;пэт кег 20л;180;Механика вкуса;Механика вкуса;GANZA Brewery "Механика вкуса" (West Coast IPA) алк.6.5% / Ганза ипа 26, пэт кег 20л;;Алкогольная продукция>GANZA Brewery>GANZA Brewery кег;6,50;70;;West Coast IPA;6734893;;49a7d393-6bad-11f1-9bbe-000c296fac54
Big Village "NON-ALCO" (Non-Alco Pilsner) алк. 0,5%/ Б/А Пилснер, ж/б 0,45л;12;00-00022640;NON-ALCO (ж/б 0,45л);Big Village;Товар;;268;4620197365742;кор. 12х0,45л ж/б;240;NON-ALCO;NON-ALCO;Big Village "NON-ALCO" (Non-Alco Pilsner) алк. 0,5%/ Б/А Пилснер, ж/б 0,45л;;Алкогольная продукция>Big Village>Big Village б>а;0,50;20;;Non-Alco Pilsner;;;c1795e0b-6bc1-11f1-9bbe-000c296fac54
Big Village "NON-ALCO" (Non-Alco Pilsner) алк. 0,5%/ Б/А Пилснер, ж/б 0,45л;12;00-00022640;NON-ALCO (ж/б 0,45л);Big Village;Товар;;268;4620197365759;кор. 12х0,45л ж/б;240;NON-ALCO;NON-ALCO;Big Village "NON-ALCO" (Non-Alco Pilsner) алк. 0,5%/ Б/А Пилснер, ж/б 0,45л;;Алкогольная продукция>Big Village>Big Village б>а;0,50;20;;Non-Alco Pilsner;;;c1795e0b-6bc1-11f1-9bbe-000c296fac54
White Stone "Искусственный интеллект" (Triple New England IPA) алк. 9% / Вайт Стоун 26, ж/б 0,45 л;62;00-00022648;ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ (ж/б 0,45 л);White Stone;Товар;;369;4640229753194;кор. 12х0,45л ж/б;365;Искусственный интеллект;Искусственный интеллект;White Stone "Искусственный интеллект" (Triple New England IPA) алк. 9% / Вайт Стоун 26, ж/б 0,45 л;;Алкогольная продукция>White Stonе>White Stonе ж>б;9;45;;Triple New England IPA;6430129;;d2eff6bc-6be4-11f1-9bbe-000c296fac54
White Stone "Искусственный интеллект" (Triple New England IPA) алк. 9% / Вайт Стоун 26, ж/б 0,45 л;62;00-00022648;ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ (ж/б 0,45 л);White Stone;Товар;;369;4640229753200;кор. 12х0,45л ж/б;365;Искусственный интеллект;Искусственный интеллект;White Stone "Искусственный интеллект" (Triple New England IPA) алк. 9% / Вайт Стоун 26, ж/б 0,45 л;;Алкогольная продукция>White Stonе>White Stonе ж>б;9;45;;Triple New England IPA;6430129;;d2eff6bc-6be4-11f1-9bbe-000c296fac54
Salden's "Smoothie Milk Sour Ale Plum" (Smoothie) алк.5% / Салденс Смузи Эль,жб.0,45л;20;00-00021362;SMOOTHIE MILK SOUR ALE PLUM (ж/б 0,45л);Salden's;Товар;;296;4620085785225;кор. 20х0,45л ж/б;180;Smoothie Milk Sour Ale Plum;Smoothie Milk Sour Ale Plum;Salden's "Smoothie Milk Sour Ale Plum" (Smoothie) алк.5% / Салденс Смузи Эль,жб.0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5;10;;Smoothie;6511854;;d2e3e72b-d5bb-11f0-9bb3-000c296fac54
MeadNight "Muscat Canelli&Сabernet Sauvigion Mead" (Mead) алк.6% / МН Медок 4, ж/б 0,45л;54;00-00021412;MUSCAT CANELLI&СABERNET SAUVIGION MEAD (ж/б 0,45л);MeadNight;Товар;;314;4627130346370;кор. 12х0,45л ж/б;360;Muscat Canelli & Сabernet Sauvigion Mead;Muscat Canelli & Сabernet Sauvigion Mead;MeadNight "Muscat Canelli&Сabernet Sauvigion Mead" (Mead) алк.6% / МН Медок 4, ж/б 0,45л;;Алкогольная продукция>MeadNight>MeadNight жб;6;;;Mead;6532838;;92a5771d-d9b4-11f0-9bb3-000c296fac54
Заповедник "Со страхом и любовью" (Cider) алк. 5.5% /Со страхом и любовью, бут. 0,33л;21;00-00021427;СО СТРАХОМ И ЛЮБОВЬЮ (бут. 0,33л);Заповедник;Товар;;301;4603759677521;кор. 20х0,33л ст. бут.;730;Со страхом и любовью;Со страхом и любовью;Заповедник "Со страхом и любовью" (Cider) алк. 5.5% /Со страхом и любовью, бут. 0,33л;;Алкогольная продукция>Заповедник>Заповедник бут;5,50;;;Cider;6039092;;231267f3-da59-11f0-9bb3-000c296fac54
Salden's "Bergamot IPA" (IPA)  алк. 7% / Беграмот ИПА, ж/б 0,45л;4;00-00021468;BERGAMOT IPA (ж/б 0,45л);Salden's;Товар;;285;4620085787038;кор. 20х0,45л ж/б;180;Bergamot IPA;Bergamot IPA;Salden's "Bergamot IPA" (IPA)  алк. 7% / Беграмот ИПА, ж/б 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;7;60;;IPA;5352321;;c38d4304-dcb0-11f0-9bb5-000c296fac54
Меда Сибири "Mead Cherry" (Mead) алк. 6,3% / Вишня, ж/б 0,45л;72;00-00019181;MEAD CHERRY (ж/б 0,45л);Меда Сибири;Товар;;304;4660387591353;кор. 12х0,45л ж/б;365;Mead Cherry;Mead Cherry;Меда Сибири "Mead Cherry" (Mead) алк. 6,3% / Вишня, ж/б 0,45л;;Алкогольная продукция>Меда Сибири>Меда Сибири жб>бут;6,30;;;Mead - Melomel;4866074;;da277a1d-30bc-11f0-9bac-000c296fac54
Salden's "New England IPA Mosaic" (NE IPA) алк, 7% / Салденс Нью Ингланд ИПА, ж/б 0,45л;26;00-00019252;NEW ENGLAND IPA MOSAIC (ж/б 0,45л);Salden's;Товар;;322;4620085785355;кор. 20х0,45л ж/б;180;New England IPA Mosaic;New England IPA Mosaic;Salden's "New England IPA Mosaic" (NE IPA) алк, 7% / Салденс Нью Ингланд ИПА, ж/б 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;7;;;NE IPA;6410128;;c93a20f5-348e-11f0-9bac-000c296fac54
Rewort Brewery "SveTley" (Micro IPA) алк. 3,0% / СВЕТЛОЕ 10, пэт кег 20л/шт;7;00-00019309;SVETLEY (пэт кег 20л/шт);Rewort;Товар;;0;4670161158276;пэт кег 20л/шт;365;SveTley;SveTley;Rewort Brewery "SveTley" (Micro IPA) алк. 3,0% / СВЕТЛОЕ 10, пэт кег 20л/шт;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort кег пэт;3;50;9;Micro IPA;6239243;9;4287f4bb-36f0-11f0-9bac-000c296fac54
Brewlok "Likho" (DIPA), алк. 8,6%. / Лихо Одноглазое, ж/б 0,45л;51;00-00019390;ЛИХО (ж/б 0,45л);Brewlok;Товар;Использована хмелевая группа : amarillo, simcoe, columbus, centennial, mosaic, vic secret.;311;4640106807767;кор. 12х0,45л ж/б;366;Likho;Likho;Brewlok "Likho" (DIPA), алк. 8,6%. / Лихо Одноглазое, ж/б 0,45л;;Алкогольная продукция>Brewlok (Воронеж)>Brewlok ж>б;8,60;80;19;Double IPA;1802346;;44ff499a-3c75-11f0-9bac-000c296fac54
